Philadelphia 76ers,107,Orlando Magic,99,8
Portland Trail Blazers,132,New York Knicks,129,3
Sacramento Kings,104,Boston Celtics,122,-18
Atlanta Hawks,122,Houston Rockets,128,-6
Brooklyn Nets,117,Indiana Pacers,128,-11
New Orleans Pelicans,111,Memphis Grizzlies,132,-21
Washington Wizards,107,Miami Heat,110,-3
Cleveland Cavaliers,102,Milwaukee Bucks,117,-15
Chicago Bulls,119,Oklahoma City Thunder,123,-4
Los Angeles Lakers,105,San Antonio Spurs,94,11
Detroit Pistons,102,Phoenix Suns,108,-6
Utah Jazz,118,Golden State Warriors,129,-11
Denver Nuggets,114,Los Angeles Clippers,104,10
Dallas Mavericks,100,Toronto Raptors,105,-5
Oklahoma City Thunder,105,Houston Rockets,118,-13
Los Angeles Lakers,143,San Antonio Spurs,138,5
Utah Jazz,112,Phoenix Suns,113,-1
Portland Trail Blazers,97,Brooklyn Nets,111,-14
Golden State Warriors,137,Minnesota Timberwolves,114,23
Indiana Pacers,100,Los Angeles Clippers,114,-14
Miami Heat,106,Atlanta Hawks,98,8
Washington Wizards,121,Boston Celtics,130,-9
Cleveland Cavaliers,102,Detroit Pistons,94,8
Memphis Grizzlies,127,New York Knicks,123,4
Philadelphia 76ers,133,Orlando Magic,103,30
Dallas Mavericks,115,Milwaukee Bucks,124,-9
Atlanta Hawks,101,Philadelphia 76ers,104,-3
Minnesota Timberwolves,127,Washington Wizards,142,-15
Charlotte Hornets,105,Boston Celtics,140,-35
Orlando Magic,102,Brooklyn Nets,109,-7
Cleveland Cavaliers,88,Toronto Raptors,100,-12
Oklahoma City Thunder,101,New Orleans Pelicans,105,-4
Houston Rockets,113,Denver Nuggets,129,-16
Chicago Bulls,114,Utah Jazz,107,7
Phoenix Suns,122,Sacramento Kings,117,5
Indiana Pacers,116,Los Angeles Lakers,115,1
New York Knicks,140,Detroit Pistons,110,30
Golden State Warriors,113,Dallas Mavericks,116,-3
Los Angeles Clippers,118,Portland Trail Blazers,112,6
Philadelphia 76ers,85,Cleveland Cavaliers,113,-28
Atlanta Hawks,125,Orlando Magic,108,17
Miami Heat,121,Boston Celtics,134,-13
Washington Wizards,107,Brooklyn Nets,113,-6
Milwaukee Bucks,109,New York Knicks,103,6
Memphis Grizzlies,101,Minnesota Timberwolves,109,-8
Toronto Raptors,108,New Orleans Pelicans,126,-18
San Antonio Spurs,111,Oklahoma City Thunder,119,-8
Houston Rockets,100,Denver Nuggets,120,-20
Chicago Bulls,113,Phoenix Suns,132,-19
Los Angeles Clippers,112,Utah Jazz,125,-13
Indiana Pacers,114,Sacramento Kings,137,-23
Portland Trail Blazers,109,Los Angeles Lakers,128,-19
Dallas Mavericks,125,Detroit Pistons,131,-6
Washington Wizards,116,Charlotte Hornets,117,-1
Denver Nuggets,109,Atlanta Hawks,117,-8
Miami Heat,120,Boston Celtics,116,4
